CUI1	STR1	RELA	STR2	CUI2
C3532483	Allergic process	has_realization	Allergy to metals	C0577627
C0015576	Family	has_recipient_category	Education of parent to support play	C2586173
C0927866	Mesial surface layer of right second lower molar tooth	has_regional_part	Crown of right second lower molar tooth	C0928096
C4246192	Early blastocyst	has_related_developmental_entity	Morula (Embryonic Structure)	C0026573
C4062923	Inadequate milk supply	has_related_factor	Abnormal breast feeding	C3887479
C0009566	Complication	has_result	Endoscopy, Gastrointestinal	C0079278
C0439617	Revision	has_revision_status	Revision to open reduction of fracture dislocation and skeletal traction	C0407983
C0392674	Exhaustion	has_risk_factor	Risk for frail elderly syndrome	C4060584
C0205528	Intra-articular route	has_route_of_administration	Administration of radiopharmaceutical agent via intraarticular route	C2584933
C0282162	emetine hydrochloride	has_salt_form	emetine	C0013974
C0392762	Quantitative (qualifier value)	has_scale	R wave duration.lead V2:Time:Pt:Heart:Qn:EKG	C0489335
C0205556	Qualitative	has_scale_type	Qualitative measurement of myoglobin in urine	C2584627
C1305860	C6 innervation	has_secondary_segmental_supply	Structure of latissimus dorsi muscle	C0224362
C1179702	L5 Segmental Innervation	has_segmental_composition	Nerve to flexor hallucis brevis	C0836010
C1305854	C8 innervation	has_segmental_supply	Extensor digiti minimi	C0224270
C1298908	no	has_seronet_permissible_value	Chronic liver disease	C0341439
C0205082	Severe (severity modifier)	has_severity	Psychomotor retardation, profound	C1855773
C0231589	Limitation of joint movement	has_sign_or_symptom	Neuro-musculo-skeletal function	C0237114
C0005424	Biliary Tract Diseases	has_single_level_category	Biliary Tract Diseases	C0005424
C0382839	CD94 Antigen	has_sort_version	CD94 Antigen	C0382839
C1554746	Physicians - Anesthesiology	has_specialty	Anesthesia for procedures on salivary glands, including biopsy	C0370247
C1610733	Urine - SpecimenType	has_specimen	Urine lipids measurement	C2188724
C0194075	Core needle biopsy of kidney	has_specimen_procedure	Specimen from kidney obtained by (core) needle biopsy	C1292616
C0005795	Blood donor	has_specimen_source_identity	Serum specimen from blood donor	C1292515
C0042345	Varicosity	has_specimen_source_morphology	Hemorrhoid tissue specimen	C2584838
C0278427	Structure of transplanted lung	has_specimen_source_topography	Specimen from transplanted lung obtained by biopsy	C2585484
C0227322	Ileal juice	has_specimen_substance	Ileostomy fluid specimen	C0444141
C0475374	Tumor stage T3	has_stage	TNM Pancreas tumor staging	C0474917
C0205208	Solid	has_state_of_matter	Pillule Dosage Form	C1273649
C0007412	Catecholamines	has_structural_class	epinephrine hydrochloride	C0001636
C0015965	Fetus	has_subject	Multisection limited for multiple gestation pregnancy:Find:Pt:Pelvis+^Fetus:Doc:US	C4265898
C1305660	Carer (occupation)	has_subject_of_information	Caregiver lives nearby	C0557485
C0027361	Persons	has_subject_relationship_context	Conjunctival swab taken for virology	C2585114
C0003241	Antibodies	has_suffix	G Ab:PrThr:Pt:Ser/Plas:Ord	C0482239
C0370201	Blood product unit	has_supersystem	G Ab:PrThr:Pt:Ser/Plas^BPU:Ord	C0482237
C3242288	Name:Act:inboundRelationship:ActRelationship	has_supported_concept_property	ActRelationshipType - CodeSystem	C1553725
C3244103	ClassifiesClassCode	has_supported_concept_relationship	EntityCode - CodeSystem	C1553752
C0205357	Smooth	has_surface_characteristic	Saline-filled smooth breast implant	C4708703
C0205357	Smooth	has_surface_texture	Silicone gel-filled smooth breast implant	C4708704
C0522521	Transvenous approach	has_surgical_approach	Therapeutic transluminal operations on vein	C0398107
C0205352	Simple	has_surgical_extent	Simple repair of superficial wounds of face, ears, eyelids, nose, lips and/or mucous membranes; 2.5 cm or less	C0370463
C3828186	Serum or Plasma	has_system	DBG Ab:PrThr:Pt:Ser/Plas:Ord	C0482215
C0007603	Plasma membrane	has_target	perifosine	C0754570
C5547365	Pediatric population	has_target_population	Acellular Bordetella pertussis and Clostridium tetani and Corynebacterium diphtheriae and Haemophilus influenzae type B and Hepatitis B virus and Human Poliovirus antigens only pediatric vaccine product	C5397523
C4302701	Wedge pressure technique	has_technique	Venous wedge pressure	C0520855
C1444634	Temporal context value	has_temporal_context	Conjunctival swab taken for virology	C2585114
C0360390	Antimycobacterial agent	has_therapeutic_class	clofazimine	C0008996
C1442770	24 Hours	has_time_aspect	gastric fluid 24 hour volume	C2182657
C0444504	Statistical mean	has_time_modifier	Intravascular systolic:Pres:8H^mean:Arterial system:Qn	C0488260
C4071828	WO	has_timing_of	Multisection^WO contrast+10M post contrast IV:Find:Pt:Abdomen>Kidney.bilateral:Doc:XR.tomography	C0881987
C0593953	Twinrix	has_tradename	hepatitis A vaccine (inactivated) strain HM175	C2355841
C0006095	Structure of brachiocephalic vein	has_tributary	Superior systemic venous tree	C0836308
C1519269	Serving	has_units	Estimated intake of fruit servings in 24 hours	C5192882
C4319774	Tablet (unit of presentation)	has_unit_of_presentation	calcium carbonate 1500 MG Chewable Tablet	C0704154
C1179426	Esophageal tributary of right inferior thyroid vein	has_venous_drainage	Esophagus	C0014876
C2366569	Alternative Billing Concepts, 2009	has_version	Alternative Billing Concepts	C1140170
C4299031	AP L-lateral-decubitus	has_view_type	View AP L-lateral-decubitus:Finding:Point in time:Chest:Narrative:XR	C0881866
C0013313	Dura Mater	homonym_for	Meninges	C0025285
C0015282	Exocrine Glands	homonym_of	Simple exocrine gland	C1179008
C1514303	Precursor T Cell Neoplasm of the Mouse Hematologic System	human_disease_maps_to_eo_disease	Lymphoma	C0024299
C5236153	Concurrent Disease Type	icdc_value_of	no	C1298908
C0025294	Meningococcal meningitis	icd_asterisk	Meningitis in bacterial diseases classified elsewhere	C0694469
C0018077	Gonococcal peritonitis	icd_dagger	Other gonococcal infections	C0348152
C1318509	Esophagram	imaged_anatomy_has_procedure	Esophagus	C0014876
C0688242	chlordiazepoxide hydrochloride 25 MG Oral Capsule	inactive_ingredient_of	microcrystalline cellulose	C0669247
C3152271	Hyperhep B 220 UNT/ML includes Injection & Prefilled Syringe	included_in	1 ML hepatitis B immune globulin 220 UNT/ML Injection [Hyperhep B]	C3888173
C3887760	10 ML Etomidate 2 MG/ML Injection [Amidate]	includes	Amidate 2 MG/ML includes Injection & Prefilled Syringe	C4057821
C3687785	Cloacal swab	includes_sub_specimen	Pooled cloacal/pharyngeal swab	C3687723
C4743867	Grade 2 Neonatal Bradyarrhythmia, AE	inc_parent_of	Neonatal Bradyarrhythmia, Adverse Event	C4743805
C0394207	Insertion of antisyphon device into ventricular shunt	indirect_device_of	Ventricular shunt device	C0728823
C0194554	Drainage of Skene's gland cyst	indirect_morphology_of	Cyst	C0010709
C0197737	Extracapsular extraction of cataract by inferior temporal route	indirect_procedure_site_of	Lens, Crystalline	C0023317
C0012772	disulfiram	induced_by	Vomiting	C0042963
C0026827	Muscle hypotonia	induces	vecuronium bromide	C0042435
C0933335	Arch of thoracic duct	inferior_to	Descending thoracic duct	C4251993
C2327034	Septal myocardium of left ventricle	inferolateral_to	Myocardium of inferior wall of left ventricle	C2329537
C0504058	Lateral wall of left ventricle	inferomedial_to	Inferior wall of left ventricle	C0504056
C2930061	amlodipine 5 MG / hydrochlorothiazide 25 MG / olmesartan medoxomil 40 MG Oral Tablet	ingredients_of	amlodipine / hydrochlorothiazide / olmesartan	C2929700
C5397502	Acellular Bordetella pertussis and Clostridium tetani and low dose Corynebacterium diphtheriae and inactivated Human poliovirus antigens only vaccine product	ingredient_characteristic_of	Low dose	C0445550
C0716936	atropine sulfate 0.0194 MG / hyoscyamine sulfate 0.1037 MG / phenobarbital 16.2 MG / scopolamine hydrobromide 0.0065 MG Oral Tablet [Chardonna]	ingredient_of	phenobarbital	C0031412
C5399685	Vaccine product containing only low dose acellular Bordetella pertussis and Clostridium tetani and low dose Corynebacterium diphtheriae antigens (medicinal product)	ingredient_qualitative_strength_of	Low dose	C0445550
C1135918	Myocytes, Smooth Muscle	inherent_3d_shape_of	Spindle	C1166795
C2317096	Saturation of Peripheral Oxygen	inherent_location_of	Blood arterial	C0229665
C2711400	Anatomical or acquired body structure	inheres_in	Comparative temperature in limbs	C0424791
C1853214	RETINITIS PIGMENTOSA 35	inheritance_type_of	Autosomal recessive inheritance	C0441748
C0507218	Left subscapularis	insertion_of	Lesser tubercle of left humerus	C0816536
C0472872	Diagnostic endoscopic examination of lower bowel and biopsy of lesion of lower bowel using fibreoptic sigmoidoscope	instrumentation_of	Flexible sigmoidoscope	C0183295
C0522769	Diagnostic surgical procedure	intent_of	Diagnostic	C0348026
C0836251	Neurovascular bundle of prostate	internal_to	Structure of capsule of prostate	C0227963
C0686761	Lack of bone formation	interpretation_of	Lacking	C0332268
C0391876	Cerebral evoked potential	interprets	Normal cerebral evoked potential	C0522211
C4517366	Injury of bladder during surgery	inverse_during	Operative Surgical Procedures	C0543467
C1155812	meiosis I	inverse_ends_during	meiotic telophase I	C1155829
C1326746	uterine wall breakdown	inverse_happens_during	Menstruation	C0025344
C0038454	Cerebrovascular accident	inverse_isa	CNS problem	C0740760
C5396984	Proportion of energy requirement from fat and oil in 24 hours	inverse_relative_to	Fat and oil	C0452829
C0407280	Closed reduction and internal fixation of proximal femoral fracture with screw/nail device alone	inverse_was_a	Closed reduction of fracture with internal fixation	C0185498
C0567499	Breast problem	isa	Breast Cyst	C0006144
C1838101	TCF12/NR4A3 FUSION GENE	is_abnormality_of_gene	t(9;15)(q22;q21)	C1515805
C3540640	FUS/CREB3L1 Fusion Protein	is_abnormality_of_gene_product	FUS-CREB3L1 Fusion Protein Expression	C1708028
C3899649	Childhood Oligoastrocytoma	is_abnormal_cell_of_disease	Neoplastic Neuroepithelial Cell	C1514048
C0085203	Radiosurgery	is_action_guidance_for	Guidance for radiosurgery:Find:Pt:XXX:Doc:CT	C0882207
C0882195	Multisection limited:Find:Pt:XXX:Doc:CT	is_aggregation_view_of	Limited (extensiveness)	C0439801
C0522523	Percutaneous	is_approach_guidance_for	Guidance for percutaneous vertebroplasty:Find:Pt:Abdomen>Spine.lumbar:Doc:CT	C1524333
C1336913	Endometrial Endometrioid Adenocarcinoma with Spindled Epithelial Cells	is_associated_anatomic_site_of	Uterine cavity	C0227844
C1611475	CCNC protein, human	is_associated_anatomy_of_gene_product	Nucleoplasm	C0682537
C1333322	Villous adenoma of duodenum	is_associated_disease_of	Intraepithelial Neoplasia	C0878500
C1531428	EEF1A2 protein, human	is_biochemical_function_of_gene_product	Guanosine Triphosphate Phosphohydrolases	C0018296
C3813203	Transmembrane Glycoprotein NMB	is_chemical_classification_of_gene_product	Integral Membrane Proteins	C0021699
C1704863	TNFSF11 wt Allele	is_chromosomal_location_of_gene	13q14	C1520544
C0280821	Dactinomycin/Doxorubicin/Mercaptopurine/Methotrexate/Prednisone/Vincristine	is_component_of_chemotherapy_regimen	doxorubicin	C0013089
C0008633	Chromosomes	is_ctdc_value_of	Chromosomes, Human, Pair 10	C0008652
C1336273	Stage III Testicular Seminoma AJCC v6 and v7	is_cytogenetic_abnormality_of_disease	Hypertriploidy	C1512559
C5667329	Synaptophysin/Chromogranin Immunohistochemistry Test	is_dipg_dmg_permissible_value_for_variable	Negative Finding	C1513916
C4071816	3D post processing	is_exam_for	Multisection 3D post processing^WO contrast:Find:Pt:Abdomen+Pelvis:Doc:CT	C4070490
C1709457	Papillary Thyroid Microcarcinoma	is_finding_of_disease	Carcinomatous Component Present	C1707292
C1114417	Multisection^WO & W contrast IV:Find:Pt:Neck:Doc:CT	is_given_pharmaceutical_substance_for	Contrast	C1979874
C1541317	Adult Gliosarcoma	is_grade_of_disease	Grade four rank	C0547054
C0881858	Multisection:Finding:Point in time:Chest:Narrative:COMPUTERIZED TOMOGRAPHY	is_imaged_location_for	Chest	C0817096
C0882518	Views for patency of biliary structures+ejection fraction^W sincalide+W radionuclide IV:Find:Pt:Abdomen>Biliary ducts+Gallbladder:Doc:NM	is_imaging_focus_of	Gallbladder	C0016976
C0268501	BADS Syndrome	is_interpreted_by	Hearing	C0018767
C0942232	Multisection:Find:Pt:Extremity.right:Doc:CT	is_lateral_anatomic_location_of	Right	C0205090
C0584884	Subscapularis muscle structure	is_location_of_anatomic_structure	Shoulder	C0037004
C1516926	Epinephrine Secretion Inhibition	is_location_of_biological_process	Cellular Membrane	C3161472
C0881865	Views PA upright^W inspiration + W expiration:Find:Pt:Chest:Doc:XR	is_maneuver_type_for	Inspiration function	C0004048
C0795677	von Willebrand factor, human	is_marked_by_gene_product	Hemangioma	C0018916
C2745883	ProLindac	is_mechanism_of_action_of_chemical_or_drug	DNA Crosslinking	C1511665
C0347003	Secondary malignant neoplasm of testis	is_metastatic_anatomic_site_of_disease	Testis	C0039597
C0881803	View AP upright:Find:Pt:Abdomen:Doc:XR.portable	is_modality_subtype_for	Portable	C4299032
C0881860	Multisection:Finding:Point in time:Chest:Narrative:MRI	is_modality_type_for	Magnetic Resonance Imaging	C0024485
C0031469	phenylephrine	is_modification_of	phenylephrine hydrochloride	C0031470
C1336077	Sporadic Burkitt's lymphoma	is_molecular_abnormality_of_disease	Clonal Immunoglobulin Lambda Light Chain Gene Rearrangement	C1516675
C3641710	ENSAT Stage II Adrenal Cortex Carcinoma	is_normal_cell_origin_of_disease	Adrenal Cortical Cell	C1706725
C1333793	tubulovillous adenoma of stomach	is_normal_tissue_origin_of_disease	Glandular Epithelium	C0682578
C0007099	Carcinoma in Situ	is_not_abnormal_cell_of_disease	Malignant Stromal Cell	C1518246
C1709467	Parathyroid Gland Lipoadenoma	is_not_cytogenetic_abnormality_of_disease	Loss of Chromosome 9p	C1517994
C1708788	Lung Typical Carcinoid Tumor	is_not_finding_of_disease	Necrotic changes (finding)	C1334928
C4745272	Locally Advanced Pancreatic Ductal Adenocarcinoma	is_not_metastatic_anatomic_site_of_disease	Pancreas	C0030274
C1292771	Chronic Myelogenous Leukemia, BCR-ABL1 Positive	is_not_molecular_abnormality_of_disease	PDGFRB Gene Rearrangement	C2827357
C2347753	Adult Pure Erythroid Leukemia	is_not_normal_cell_origin_of_disease	Lymphocyte	C0024264
C1515893	Adult Vaginal Botryoid-Type Embryonal Rhabdomyosarcoma	is_not_normal_tissue_origin_of_disease	Epithelium	C0014609
C1706987	Borrelia Burgdoferi-Associated Cutaneous Marginal Zone Lymphoma of Mucosa-Associated Lymphoid Tissue	is_not_primary_anatomic_site_of_disease	lymph nodes	C0024204
C0000833	Abscess	is_object_guidance_for	Guidance for drainage of abscess+placement of drainage catheter:Find:Pt:XXX:Doc:CT	C1116465
C2826522	MIR376B Pre-miRNA	is_organism_source_of_gene_product	Homo sapiens	C0086418
C4086098	CDISC SEND Pregnancy Findings Test Code Terminology	is_paired_with_value_set	CDISC SEND Pregnancy Findings Test Name Terminology	C4084929
C5420121	Site of Radiation Therapy	is_pcdc_all_permissible_value_for_variable	Bone structure of cranium	C0037303
C2826025	Mixed phenotype acute leukemia	is_pcdc_aml_permissible_value_for_variable	Yes (indicator)	C1705108
C0206065	Karnofsky Performance Status	is_pcdc_ews_permissible_value_for_variable	Karnofsky Performance Status 60	C3829425
C5447720	Nodal Site	is_pcdc_gct_permissible_value_for_variable	Cervix Uteri	C0007874
C1287399	Imaging finding	is_pcdc_hl_permissible_value_for_variable	Equivocal Laboratory Test Result	C5555312
C5420783	Joint Involvement	is_pcdc_os_permissible_value_for_variable	Unknown	C0439673
C1524450	Multisection limited^W contrast IV:Find:Pt:Abdomen:Doc:CT	is_pharmaceutical_route_for	Intravenous Route of Drug Administration	C1522726
C1708435	IL4 wt Allele	is_physical_location_of_gene	5: 132037272-132046267	C1711004
C4086002	Autologous CD19CAR-CD28-CD3zeta-EGFRt-expressing Tn/mem-enriched T-lymphocytes	is_physiologic_effect_of_chemical_or_drug	T-Cell Activation	C1155065
C1959633	Spatial guidance for medical procedure	is_presence_guidance_for	Guidance for drainage+placement of drainage catheter:Find:Pt:Pelvis>Anus:Doc:CT	C1524313
C0942307	Guidance for injection:Find:Pt:Pelvis>Sacroiliac joint.left:Doc:CT	is_presence_of_lateral_location	True	C0205238
C0347098	Stage 0 Pharynx Carcinoma	is_primary_anatomic_site_of_disease	Throat	C3665375
C1518018	Low Grade Flat Villous Dysplasia of the Mouse Intestinal Tract	is_property_or_attribute_of_eo_disease	Low Grade	C1282907
C1709993	SNP_Type	is_qualified_by	SNP_ID	C1709992
C5197618	SST protein, human	is_related_to_endogenous_product	Recombinant Somatostatin	C1881011
C0424790	Rigor - Temperature-associated observation	is_seronet_permissible_value_for_variable	Unknown	C0439673
C2981372	Stage IIIA Esophageal Adenocarcinoma AJCC v7	is_stage_of_disease	Stage level 3	C0441771
C0205238	True	is_sterile	Woven gauze pad, sterile	C3881397
C0907306	SIRPB1 protein, human	is_structural_domain_or_motif_of_gene_product	Transmembrane Domain	C1519623
C2713073	Views for fetal age:Find:Pt:Abdomen+^Fetus:Doc:XR	is_subject_of	Fetus	C0015965
C1831937	F-18 16 alpha-fluoroestradiol	is_target	Estrogen Receptor Family, human	C5441529
C0881919	Multisection^W contrast IV:Find:Pt:Head>Facial bones:Doc:CT	is_timing_for	In addition to	C0332287
C2826982	Relationship Type	is_value_for_gdc_property	Natural sibling	C0337502
C0881866	View AP L-lateral-decubitus:Finding:Point in time:Chest:Narrative:XR	is_view_type_for	AP L-lateral-decubitus	C4299031
C1707782	Disease_May_Have_Cytogenetic_Abnormality	kind_is_domain_of	Disease, Disorder or Finding	C1511989
C3640110	Procedure_Has_Target_Disease	kind_is_range_of	Disease, Disorder or Finding	C1511989
C0771309	valacyclovir hydrochloride	lab_number_of	BW256U87	C0701514
C1619811	Low - MessageWaitingPriority	larger_than	Message Waiting Priority - Medium	C1561547
C2127770	sensation of something floating in right thumb joint	laterality_of	Right	C0205090
C0925483	Left nasomaxillary suture	lateral_to	Frontal process of left maxilla	C0935309
C0224526	Structure of sagittal suture of skull	left_lateral_to	Left parietal bone	C0934302
C0224561	Structure of intermaxillary suture of skull	left_medial_to	Left upper central incisor tooth bony socket	C2951106
C3669415	Catfish in confinement for human food production	life_circumstance_of	Produces flesh for human food	C3687504
C2366753	Initial hospital or birthing center care, per day, for evaluation and management of normal newborn infant admitted and discharged on the same date	locale_of	Hospital-based birthing center	C0338001
C2366751	Initial care, per day, for evaluation and management of normal newborn infant seen in other than hospital or birthing center	locale_of_excluded	Free Standing Birthing Center	C0085904
C1533685	Injection procedure	location_of	Biliary tract structure	C0005423
C5220260	Progress note&#x7C;ANYRole&#x7C;ANYSetting	loinc_number_of	Progress note:Find:Pt:{Setting}:Doc:Attending	C0801747
C0923381	Skin of left nipple	lymphatic_drainage_of	Cutaneous lymphatic tree of left nipple	C2325441
C0038358	Gastric ulcer	manifestation_of	Bleeding gastric ulcer	C0341164
C1552903	SmithKline Beecham	manufactured_by	rotavirus vaccine, live, monovalent	C2342811
C0358297	Anthrax Vaccines	manufactures	Emergent BioSolutions	C4038526
C0038454	Cerebrovascular accident	mapped_from	Cerebrovascular accident	C0038454
C0001623	Adrenal gland hypofunction	mapped_to	Addisonian crisis	C0151467
C0067764	N-acetylneuraminoyllactose	mapping_qualifier_of	analogs & derivatives	C0002776
C4239792	Left fetal nasal bone	matures_from	Left nasal bone	C0934364
C0934364	Left nasal bone	matures_into	Left fetal nasal bone	C4239792
C0280169	Ann Arbor Stage IV Grade 1 Follicular Lymphoma	may_be_abnormal_cell_of_disease	Neoplastic Centroblast	C1514006
C1332442	BRCA1-Associated Hereditary Breast and Ovarian Cancer Syndrome	may_be_associated_disease_of_disease	Liver carcinoma	C2239176
C1334158	Immunodeficiency-associated Burkitt's lymphoma	may_be_cytogenetic_abnormality_of_disease	t(2;8)(p11;q24)	C1515758
C0034131	purified protein derivative of tuberculin	may_be_diagnosed_by	Hypersensitivity	C0020517
C0796293	Ann Arbor Stage II Adult Non-Contiguous Immunoblastic Lymphoma	may_be_finding_of_disease	Lymphadenopathy	C0497156
C1709457	Papillary Thyroid Microcarcinoma	may_be_molecular_abnormality_of_disease	KRAS Gene Mutation	C1517649
C0854143	Angiocentric lymphoma recurrent	may_be_normal_cell_origin_of_disease	Cytotoxic T-Lymphocytes	C0039195
C5555608	Ovarian Mesonephric-Like Adenocarcinoma	may_be_normal_tissue_origin_of_disease	Mesonephric Remnants	C1881790
C0282399	ganciclovir sodium	may_be_prevented_by	Cytomegalovirus Infections	C0010823
C3245488	Acquired Name	may_be_qualified_by	Last Name	C1301584
C0017066	ganciclovir	may_be_treated_by	Cytomegalovirus Infections	C0010823
C0011581	Depressive disorder	may_diagnose	dexamethasone	C0011777
C0016365	fluoxetine	may_inhibit_effect_of	cyproheptadine	C0010620
C0004623	Bacterial Infections	may_prevent	Fluoroquinolone Antibacterial	C4306797
C1301584	Last Name	may_qualify	Acquired Name	C3245488
C0010823	Cytomegalovirus Infections	may_treat	ganciclovir	C0017066
C0005790	Blood coagulation tests	measured_by	Blood coagulation	C0005778
C1277977	Serum 5-alpha-dihydrotestosterone measurement	measured_component_of	testosterone	C0039601
C2711196	Measurement of rifampin in serum specimen using high performance liquid chromatography	measurement_method_of	High pressure liquid chromatography procedure	C0008562
C0236504	ADB	measures	Whole Blood ADB Test	C0236225
C0033216	procainamide	mechanism_of_action_of	Unknown Cellular or Molecular Interaction [MoA]	C1373108
C0929065	Frontal process of right maxilla	medial_to	Right nasomaxillary suture	C0925482
C1869102	Haemorrhage terms (excl laboratory terms) (SMQ)	member_of	Coital bleeding	C1610622
C4249175	Left maxillary process	merges_with	Left lateral nasal process	C4242580
C0017642	glipizide	metabolic_site_of	Hepatic Metabolism	C1373178
C0005558	Biopsy	method_of	Method of biopsy	C0449327
C0187029	Closed treatment of ulnar fracture, proximal end (eg, olecranon or coronoid process[es]); without manipulation	method_of_excluded	Manipulation procedure	C0947647
C0370886	Open treatment of shoulder dislocation, with fracture of greater humeral tuberosity, includes internal fixation, when performed	method_of_possibly_included	Fixation - action	C0185023
C0184514	Assess or Monitor	modified_by	Maintenance of immobilizer	C0184574
C1171205	Musculosketal Care	modifies	Assess or Monitor	C0184514
C1825635	JAZF1 gene	molecular_abnormality_involves_gene	JAZF1-SUZ12 Fusion Protein Expression	C1517616
C0477447	Otitis media in viral diseases classified elsewhere	moved_from	Extension Namespace 1000000	C1299996
C1563030	Extension Namespace 1000009	moved_to	NOLVALUBE	C0309625
C0851368	Anaemias nonhaemolytic and marrow depression	mth_british_form_of	Anaemias nonhaemolytic and marrow depression	C0851368
C2609429	Depression (excl suicide and self injury) (SMQ)	mth_expanded_form_of	Depression (excl suicide and self injury) (SMQ)	C2609429
C0154292	Other hemolytic anemias due to enzyme deficiency	mth_has_british_form	Other hemolytic anemias due to enzyme deficiency	C0154292
C2609429	Depression (excl suicide and self injury) (SMQ)	mth_has_expanded_form	Depression (excl suicide and self injury) (SMQ)	C2609429
C0312777	C>5b678< inhibitor	mth_has_plain_text_form	C>5b678< inhibitor	C0312777
C0313168	Blood group antibody M^c^	mth_has_xml_form	Blood group antibody M^c^	C0313168
C0311503	aryl-alcohol dehydrogenase (NADP+)	mth_plain_text_form_of	aryl-alcohol dehydrogenase (NADP+)	C0311503
C3841475	Beta plus thalassemia	mth_xml_form_of	Beta plus thalassemia	C3841475
C0154135	Neoplasm of unspecified nature of other specified sites	multiply_mapped_from	[X]Neoplasms of uncertain and unknown behaviour	C0694450
C0694450	[X]Neoplasms of uncertain and unknown behaviour	multiply_mapped_to	Neoplasm of unspecified nature of other specified sites	C0154135
C2612387	negative regulation of mitochondrial RNA catabolic process	negatively_regulated_by	mitochondrial RNA catabolic process	C2612383
C1155688	initial mitotic spindle pole body separation	negatively_regulates	negative regulation of mitotic spindle pole body separation	C2611993
C0280100	Solid Neoplasm	neoplasm_has_special_category	liposarcoma	C0023827
C0816055	Right spinalis thoracis	nerve_supply_of	T4 branch to right spinalis thoracis	C2338904
C0549186	Obstructed	noun_form_of	Obstruction	C0028778
C1280473	Operative procedure on arteriovenous fistula	occurs_after	Pseudoaneurysm of surgical arteriovenous fistula	C2584605
C2584654	Posttraumatic seizure	occurs_before	Craniocerebral Trauma	C0018674
C0231335	Childhood	occurs_in	Juvenile osteochondrosis of acetabulum	C0343276
C0011057	Hearing Loss, Sudden	onset_of	Sudden onset (contextual qualifier) (qualifier value)	C1272517
C1427070	TWIST2 gene	organism_has_gene	Homo sapiens	C0086418
C0836347	Long head of right biceps femoris	origin_of	Area of origin of long head of right biceps femoris	C4249604
C0154135	Neoplasm of unspecified nature of other specified sites	other_mapped_from	Neoplasm of uncertain or unknown behavior of mediastinum	C0496915
C0496915	Neoplasm of uncertain or unknown behavior of mediastinum	other_mapped_to	Neoplasm of unspecified nature of other specified sites	C0154135
C3242478	Unclassified Realm	owning_affiliate_of	Universal - VocabularyDomainQualifier	C1552870
C3242467	financial information	owning_section_of	Administrative Management Publishing Section	C3245510
C3242438	accounting & billing	owning_subsection_of	financial information	C3242467
C0519823	Basic metabolic panel (Calcium, total) This panel must include the following: Calcium, total (82310) Carbon dioxide (bicarbonate) (82374) Chloride (82435) Creatinine (82565) Glucose (82947) Potassium (84132) Sodium (84295) Urea nitrogen (BUN) (84520)	panel_element_of	Blood urea nitrogen measurement	C0005845
C0373491	ACTH stimulation panel; for adrenal insufficiency This panel must include the following: Cortisol (82533 x 2)	panel_element_of_possibly_included	Adrenocorticotropic hormone measurement	C0201835
C5217821	Magnesium.ionized&#x7C;Pt&#x7C;Ser/Plas	parent_group_of	MassMolConc<SAME:Comp&#x7C;Tm&#x7C;Sys&#x7C;Meth><Prop:MCncORSCnc>	C5214691
C0165921	entacapone	parent_of	Catechol-O-Methyltransferase Inhibitor [EPC]	C3536821
C2220009	Excessive weight gain during pregnancy	partially_equivalent_to	Oedema or excessive weight gain in pregnancy NOS	C0156732
C0192440	Billroth I Procedure	partially_excised_anatomy_has_procedure	Stomach	C0038351
C0193864	Modified radical neck dissection (procedure)	partially_excised_anatomy_may_have_procedure	Structure of sternocleidomastoid muscle	C0224153
C0222302	Skin structure of great toe	part_anatomy_structure_of	Skin of part of great toe	C1283724
C0005423	Biliary tract structure	part_of	Gallbladder	C0016976
C1328319	Ankle brachial pressure index (observable entity)	part_referred_to_by	Structure of brachial artery	C0006087
C0162832	APC gene	pathogenesis_of_disease_involves_gene	Gardner Syndrome	C0017097
C0268759	SLE glomerulonephritis syndrome, WHO class VI	pathological_process_of	Autoimmune reaction	C0443146
C0371137	Treatment of intertrochanteric, peritrochanteric, or subtrochanteric femoral fracture; with intramedullary implant, with or without interlocking screws and/or cerclage	pathology_of	Fracture	C0016658
C0370403	Excision, benign lesion including margins, except skin tag (unless listed elsewhere), scalp, neck, hands, feet, genitalia; excised diameter over 4.0 cm	pathology_of_excluded	Skin tag	C0037293
C0812478	Open treatment and/or reduction of odontoid fracture(s) and or dislocation(s) (including os odontoideum), anterior approach, including placement of internal fixation; with grafting	pathology_of_possibly_included	Dislocations	C0012691
C4084852	ITGB6 wt Allele	pathway_has_gene_element	Arrhythmogenic Right Ventricular Cardiomyopathy Pathway	C2984267
C0189342	Tracheostomy, planned (separate procedure); younger than two years	patient_type_of	Child	C0008059
C0372424	Meatotomy, cutting of meatus (separate procedure); except infant	patient_type_of_excluded	Infant	C0021270
C2939347	Patient (or caregiver) queried about Parkinson's disease medication related motor complications (Prkns)	patient_type_of_possibly_included	Patients	C0030705
C5239600	Minimal Residual Disease Value	pcdc_data_type_of	Numbers	C0237753
C0009443	Common Cold	permuted_term_of	Common Cold	C0009443
C4725548	Solvent for Solution for Infusion Dosage Form	pharmaceutical_administration_method_of	Infusion route	C1827465
C4725563	Injectable Suspension for Emulsion Dosage Form	pharmaceutical_basic_dose_form_of	Suspension Dosage Form Category	C4724031
C4725547	Solution for Use in Drinking Water/Milk Dosage Form	pharmaceutical_intended_site_of	Oral	C0442027
C4725550	Solvent for [Product Name] Dosage Form	pharmaceutical_release_characteristics_of	Conventional Release Mechanism of Action	C4724243
